,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
210653,16988,2016,23728,TX,3C4PDCBG5GT100221,Dodge,Journeyfwd,,Public
163413,20319,2004,41730,TX,1G1YY32G145130880,Chevrolet,Corvette2Dr,,Public
85072,10500,2015,42106,WI,1G1PC5SB0F7257279,Chevrolet,Cruze1Lt,,Public
751232,15699,2017,349,IN,3MYDLBYV9HY180991,Toyota,Yaris,,Public
529046,14598,2015,30469,CO,KNAFZ6A38F5374179,Kia,Forte,,Public
445509,2995,2008,155236,MI,5NPET46C68H328396,Hyundai,Sonata4Dr,,Public
437059,5495,2011,97200,CT,5NPEB4AC0BH001252,Hyundai,Sonata4Dr,,Public
611188,30999,2015,44857,FL,4JGDA5JB8FA484106,Mercedes-Benz,M-Classml350,,Public
790883,16277,2015,36831,MA,4T1BF1FK3FU967852,Toyota,Camryse,,Public
703374,82888,2015,15315,TX,WP0AA2A98FS106302,Porsche,911Coupe,,Public
757658,12555,2014,53621,FL,2T1BURHE6EC083769,Toyota,Corollal,,Public
581867,53995,2014,49448,NJ,ZAM56RRA1E1076697,Maserati,Quattroportes,,Public
706961,28119,2016,7784,OK,3C6RR6KT6GG119045,Ram,"1500Tradesman,",,Public
558099,16999,2014,72543,TN,JTHKD5BH8E2186734,Lexus,Ct,,Public
515018,26995,2016,31205,IL,1C4RJFAG2GC478030,Jeep,Grand,,Public
70902,25491,2014,17033,WI,1G6AM5S35E0112493,Cadillac,Ats3.6L,,Public
761341,10900,2014,87314,VA,4T1BF1FK6EU344935,Toyota,Camryle,,Public
779049,11800,2011,85260,CA,JTDKN3DU1B0298859,Toyota,Prius5Dr,,Public
456839,6000,2007,82457,NY,5NPET46C67H222688,Hyundai,Sonata4Dr,,Public
60754,18007,2017,33013,CO,2G4GL5EX2H9103524,Buick,Regalsport,,Public
308982,13828,2015,65724,SC,1FMCU0G75FUA19211,Ford,Escapefwd,,Public
159183,28791,2014,56356,ND,1GNKVJKD1EJ346616,Chevrolet,Traverseltz,,Public
668318,13985,2016,12259,FL,3N1CE2CP9GL368499,Nissan,Versa,,Public
518381,35995,2013,52242,AZ,1C4BJWEG7DL543882,Jeep,Wrangler,,Public
411357,18500,2015,86337,IN,5J6RM4H94FL006827,Honda,Cr-Vtouring,,Public
19739,37300,2017,16948,NC,WA1C2AFP3HA074899,Audi,Q52.0,,Public
138347,23597,2015,43007,MI,1GNKVHKD8FJ204676,Chevrolet,Traverse2Lt,,Public
186874,14045,2016,23864,WA,1C3CCCAB1GN170858,Chrysler,200Limited,,Public
523310,13988,2016,36967,AZ,KNAFX4A69G5554793,Kia,Forteautomatic,,Public
18406,29799,2015,49422,TX,WA1LFAFP5FA108567,Audi,Q52.0T,,Public
31538,21977,2013,44594,VA,WBA3B5C54DF597567,Bmw,3,,Public
149341,32583,2016,21259,NV,3GCPCREC3GG312185,Chevrolet,Silverado,,Public
400400,19791,2015,11722,CA,3CZRM3H33FG716787,Honda,Cr-Vlx,,Public
621248,51999,2015,66073,MD,WDDUG8FB1FA088487,Mercedes-Benz,S-Classs550,,Public
393298,17494,2014,39783,FL,1HGCR2F8XEA296031,Honda,Accord,,Public
645727,16997,2017,41275,SC,1N4AL3AP7HN302673,Nissan,Altima2.5,,Public
480477,11985,2016,38222,FL,1C4NJCEA3GD633097,Jeep,Compasslatitude,,Public
801079,23500,2013,78521,CA,3TMKU4HN4DM035440,Toyota,Tacomadouble,,Public
5494,26857,2015,27418,CA,19UUB2F56FA020283,Acura,Tlxfwd,,Public
428605,28780,2015,28357,NJ,5FNRL5H61FB040554,Honda,Odysseyex-L,,Public
69236,6784,2003,74012,NV,1G6DM57N830121516,Cadillac,Cts4Dr,,Public
339699,29987,2011,58209,CO,1FTFW1ET3BKE22546,Ford,F-1504Wd,,Public
739236,10977,2011,110631,CA,JF1GH6D64BH811383,Subaru,Impreza,,Public
834819,9900,2010,42491,FL,WVWBA7AJ5AW390744,Volkswagen,Golf2Dr,,Public
16703,12640,2006,50333,TX,TRUWD28N061004908,Audi,Tt2Dr,,Public
239675,10989,2016,11754,GA,1FADP3E27GL232473,Ford,Focussedan,,Public
