,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
331394,4995,2004,115193,IL,1G4CU541444120203,Buick,Park Avenue,Good,Public
350172,16999,2017,95313,CA,1GCNCNEH5HZ289022,Chevrolet,Silverado,Unknown,Public
238701,4300,2009,102752,GA,3N1BC13E39L467395,Nissan,Versa,Good,Public
426964,20,2014,136000,VA,5TFBY5F14EXB82661,Toyota,Tundra,Excellent,Public
123894,1,2017,37790,FL,2C3CDXCT2HH545659,Dodge,Charger,Excellent,Public
383058,20290,2017,28047,OR,JF1VA1B69H9834064,Subaru,Wrx,Unknown,Public
158543,21300,2015,28443,MD,55SWF4JB3FU046334,Mercedes-Benz,C-Class C 300,Good,Public
451833,30995,2012,101562,CA,3C63D3GL0CG239056,Ram,3500,Unknown,Public
77650,27095,2017,35534,CA,5UXWZ7C31HOV88869,Bmw,X3,Like New,Public
91810,8995,2013,65600,DC,2GNALBEK1D6394324,Chevrolet,Equinox,Unknown,Public
89607,6500,2002,269000,AL,JTJHT00W323513367,Lexus,Lx470,Good,Public
387016,25995,2009,29494,PA,1g1yy26w495107306,Chevrolet,Corvette,Excellent,Public
6429,22900,2016,91160,TN,1GTV2MEC0GZ268689,Gmc,Sierra 4X4,Excellent,Public
85098,6866,2011,60185,CA,JN1AZ0CP6BT007400,Nissan,Leaf,Unknown,Public
227135,16495,2015,71202,OH,2HGFB6E58FH709793,Honda,Civic,Unknown,Public
187026,4850,2007,151000,NM,1HGCM66457A096034,Honda,Accord Lx,Excellent,Public
335469,0,2013,25916,WV,JF2GPAGC8D2896995,Subaru,Xv Crosstrek,Excellent,Public
459678,9000,2010,270000,NC,1D7RB1GP6AS206056,Ram,1500,Good,Public
222672,7995,2011,149674,MI,5GAKVBED2BJ354974,Buick,Enclave Cxl-1,Unknown,Public
169204,7695,2011,103186,AR,JN8AF5MR7BT020681,Nissan,Juke,Excellent,Public
5897,9999,2013,23931,MA,2HGFG3B86DH524184,Honda,Civic Coupe Ex,Good,Public
331172,1488,2002,230812,MA,2G4WB55K521144741,Buick,Regal,Unknown,Public
99799,19995,2005,116558,AK,1FTWW31P45EC31547,Ford,Super Duty F-350 Srw,Unknown,Public
104606,7295,2014,94369,KS,1VWAT7A3XEC094999,Volkswagen,Passat,Good,Public
360615,35555,2016,40300,MI,1GCVKREHXGZ208735,Chevrolet,Silverado 1500 4Wd,Unknown,Public
